,Manjanggul,Bijarim,Seopjikoji ,Seongsanilchul Provincial Marine Park,"Jeongbang Waterfall, Xu Fu exhibition, Chilshimni food specialized street",Jusangjeolli,"Cheonjiyeon Waterfall, Saeyeongyo office",Sanbangsan Mountain,The mystery of the road,Jejumok government office,Jeju Natural World Heritage Center,Halla Arboretum,Historic Site of Anti-Yuan Movement,Jeolmul Natural Recreation Forest,Bulgeun Oreum Natural Recreation Forest,Museum of Contemporary Art,11Course,"The Museum of Sex Health, Andeok Valley",9Course,Daejeong-eup,Andeok-myeon,"7Course, Jungmun Tourist Complex, Jungmun Marine Park Pacificland, Cheonjeyeon Falls, Ripley's Believe It or Not! Museum, Teddy Bear Museum, Play K-Pop Jeju",World Car Museum,Hwasun Gotjawal eco-tourism attractions forest,"Songaksan, Footprints hwaseokjji Management Office, Four Seasons beach, Four Seasons coast road, Hwasun golden sand beach",Mara Provincial Marine Park,Seogwipo Cross-country Bus Terminal ,Seogwipo Astronomical Science and Culture Center, Museum of world shell,Gidang Art Museum,Soingook Theme Park,hyeopjjae beach ,Suwolbong Peak,Sinjeju Rotary,off-season training camp,Jeju pottery Museum,Jeju kanran exhibition,"The culture street of pine park, Lee Joong-sup street, Seogwipo City Lee Joong-sup Art Gallery",Jungangno cross road,"Pyoseon-myeon, Pyoseon daily gym",1Course,2Course,5Course,Gujwa gym,"Jeju National Museum, Jeju National Sports Center",Namwon-eup,Dynamic maize,Dodubong Park ,Donnaeko,Sarabong Park,"Seongsan-eup, Sinyang seopjikoji the beach","Jeju Folk Village Museum, Pyoseon Haevichi beach",Pyoseon Haevichi beach,Jeju Pony Town,Hayo soesokkak the beach,Honinji Pond,Jungang Rotary,Seongsanpo Shell Museum,Pony Valley,Museum of the world sex,Maze Park,Andeok Living Gym,Oedolgae Rock,"Yongyeon, Yongduam Rock",Ilchulland,Jeju Haenyeo Museum ,Jeju Herb Dongsan,Blue Mountain Coffee theme park,Dongmun Rotary,Jeju 4.3 peace park,Namwon living gym,Jeju rehabilitation hospital,Keuneong,Gangchanghak b Stadium,International Peace Center Jeju,Jeju International Peace Center Jeju,Maehwa Theme Park -1,Maehwa Theme Park -2,The Da Vinci Museum,Daeyu industry,Hyodon-ri,Seogwipo all-weather a gate ball ground,Camellia Hill,Samyang-dong site,Seogwipo Citrus Museum,Seogwipo-si  Gungdojang,Seogwipo roller-skating rink,Jeju Sculpture Park,Seogwipo Natural Recreation Forest,Soam the Memorial hyeonjunghwa,"Alice's Adventures in Wonderland, Soingook Theme Park",Hwanggeumnyung goldeunhil hub farm -2,Jeju Glass Museum,Hankyong gym,Hwanggeumnyung goldeunhil hub farm -1,Toy Park,eongtto waterfall ,Yerae Ecology Experience Center,Jewon Apt,Jeju Greentea,Cheju folklore and national history museum,Sports Stadium,Hyuaeri,Kim Jeong-hui's House of Exile,anti-Japan memorial hall,Korea Baseball Hall of Fame,Gimjeong Cultural Center,Birthplace of Beopjeongsa,Jeju Museum of Art,Gwakjji gwamul beach,Museum of Education,Ido Park,"Jeju anti-Japan memorial hall, Jocheon gym",deer ecology observation center,Aewal Ocean Front National Sports Center,Jeju dinosaurs Museum ,Jeju chusagwan,natural-lover gallery,Liquorium,Daejeong Culture and Sports Center,Hanlim gym,water transport park ,Film Culture center,Aewol gym,ioteu beach,Intercity Bus Terminal
Jungang Rotary,0.005535055,0.001476015,0.001476015,0.015129151,0.048339483,0.012177122,0.049077491,0.005904059,0.000738007,0.002214022,0,0,0.000738007,0,0.000369004,0.001476015,0.002583026,0.005535055,0,0.002214022,0.075645756,0.051291513,0,0.000369004,0.005904059,0.000738007,0.126568266,0.000738007,0.066051661,0.005166052,0.001107011,0.001476015,0,0.009594096,0.009594096,0,0.000738007,0.10295203,0.002583026,0.023247232,0.001476015,0,0.008487085,0.001107011,0,0.059778598,0.000738007,0.000369004,0.002583026,0,0.02398524,0.001845018,0.002583026,0,0.010332103,0,0,0,0,0.005166052,0.000738007,0.001476015,0.012177122,0.004059041,0,0.001107011,0.000369004,0,0.080442804,0.000369004,0.005166052,0.06199262,0,0.0099631,0.001107011,0,0,0,0,0,0.009225092,0.011439114,0.002583026,0,0.003321033,0.000369004,0.000738007,0.000738007,0.000369004,0.001476015,0.000369004,0,0.001107011,0,0,0.000369004,0.000369004,0.001107011,0.005166052,0,0.000369004,0.000369004,0.000738007,0,0,0.004797048,0.002583026,0,0.000738007,0.003321033,0.000369004,0,0,0,0,0,0.000738007,0,0,0,0.000738007,0.000369004,0,0,0.001107011,0.008856089
Seongsanpo Shell Museum,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0.004950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004950495,0.004950495,0.935643564,0,0,0,0,0,0,0,0,0,0.01980198,0,0.004950495,0,0,0,0,0,0,0,0,0,0,0,0,0.004950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004950495,0,0,0,0,0,0,0
Pony Valley,0.00270514,0.011722272,0.018935978,0.071235347,0.009918846,0.001803427,0.00270514,0.000901713,0.000901713,0.006311993,0,0.001803427,0,0.011722272,0,0,0,0.000901713,0,0,0.001803427,0.00541028,0,0,0.000901713,0,0.001803427,0,0.000901713,0,0,0,0.000901713,0.004508566,0,0,0.001803427,0.003606853,0.000901713,0.154192967,0.00270514,0,0.000901713,0.000901713,0.004508566,0.00541028,0.174932372,0.00541028,0,0,0.079350766,0.034265104,0.017132552,0.103697024,0.007213706,0,0,0,0,0,0,0,0.00270514,0.012623986,0.070333634,0.003606853,0.065825068,0.055004509,0.000901713,0.004508566,0,0,0.000901713,0,0,0,0,0,0.00270514,0,0.000901713,0,0.000901713,0.001803427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000901713,0,0.000901713,0,0.00270514,0,0,0,0,0,0,0.00270514,0,0.000901713,0.000901713,0.000901713,0,0.00270514,0,0.000901713,0.00270514,0,0,0.001803427,0,0,0.00270514,0.001803427
Museum of the world sex,0,0,0,0.002136752,0.02991453,0.002136752,0.012820513,0.002136752,0,0,0,0,0,0,0,0,0.002136752,0.006410256,0,0.006410256,0.023504274,0.023504274,0,0,0.012820513,0,0.651709402,0,0.010683761,0,0.002136752,0,0,0.002136752,0,0,0,0.042735043,0,0.008547009,0,0,0.002136752,0,0,0.021367521,0,0,0.002136752,0,0.008547009,0.004273504,0,0,0.004273504,0,0.027777778,0,0,0,0.019230769,0,0.006410256,0,0,0,0,0,0.017094017,0,0.002136752,0.010683761,0,0,0,0,0,0,0,0,0,0.006410256,0.004273504,0,0.002136752,0,0,0.004273504,0.004273504,0.002136752,0,0,0,0,0,0,0.004273504,0,0,0,0,0,0,0,0,0,0.004273504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maze Park,0,0.004291845,0.004291845,0.010729614,0.039699571,0.068669528,0.126609442,0.009656652,0.001072961,0,0,0,0.001072961,0.002145923,0.001072961,0.001072961,0,0.004291845,0,0,0.028969957,0.151287554,0.003218884,0,0.008583691,0,0.114806867,0.003218884,0.033261803,0,0.009656652,0.006437768,0,0.001072961,0,0,0.017167382,0.080472103,0,0.002145923,0,0.001072961,0,0,0,0.004291845,0.009656652,0,0.001072961,0,0.015021459,0.005364807,0.001072961,0,0.020386266,0.001072961,0.00751073,0,0,0.017167382,0,0,0.066523605,0.005364807,0,0,0,0,0.002145923,0.016094421,0,0.002145923,0.001072961,0.001072961,0,0,0,0,0.011802575,0.021459227,0.008583691,0.002145923,0.020386266,0,0.001072961,0,0.001072961,0.003218884,0,0,0.001072961,0,0.001072961,0,0,0.001072961,0.001072961,0.003218884,0,0,0.002145923,0,0.004291845,0.002145923,0,0,0,0,0,0.001072961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andeok Living Gym,0,0.01754386,0,0.004385965,0,0.002192982,0.021929825,0.026315789,0,0.004385965,0,0,0,0,0,0,0.006578947,0.223684211,0.004385965,0.015350877,0.421052632,0.013157895,0,0.015350877,0.098684211,0,0.002192982,0,0,0.002192982,0.006578947,0,0,0.004385965,0,0,0,0.002192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004385965,0,0,0,0,0,0.052631579,0,0,0.004385965,0,0.002192982,0,0,0.026315789,0,0.002192982,0,0,0,0,0,0,0,0,0,0,0,0.002192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002192982
Oedolgae Rock,0.000382702,0.000765404,0.006505932,0.009950249,0.091083046,0.091083046,0.2039801,0.016073479,0.000382702,0.001148106,0,0.000382702,0,0.001148106,0.001148106,0,0.001148106,0.004975124,0.000765404,0.000382702,0.016456181,0.088786835,0.002678913,0.000765404,0.016456181,0.000765404,0.021431305,0,0.079219288,0.003444317,0.002678913,0.003061615,0.001148106,0.001148106,0.001148106,0.000382702,0.003444317,0.092231152,0.001148106,0.003444317,0.001913509,0.000765404,0.000382702,0.000382702,0.000382702,0.002296211,0.001148106,0.002678913,0.004209721,0.000765404,0.008419441,0.005740528,0.003061615,0,0.027171833,0,0.015690777,0,0.000382702,0.002296211,0.01224646,0,0,0.002296211,0.000765404,0.000382702,0.002296211,0,0.008802143,0.000765404,0,0.002678913,0.001148106,0,0.001530808,0.001148106,0,0.000382702,0.001913509,0.000765404,0.057787983,0.026789131,0.009184845,0,0.000382702,0.000382702,0.000765404,0.002296211,0.000765404,0.001530808,0.000382702,0.000382702,0,0,0.000382702,0.000382702,0.001530808,0,0.000765404,0,0,0,0.001148106,0.000382702,0,0.000382702,0,0.000382702,0.000382702,0.003444317,0,0,0.000382702,0,0,0,0,0.000382702,0.000382702,0,0,0,0,0,0.002296211,0.000765404
"Yongyeon, Yongduam Rock",0.024539877,0.006134969,0.024539877,0.041717791,0.012269939,0.014723926,0.024539877,0.013496933,0.008588957,0.187730061,0.001226994,0.02208589,0.001226994,0.012269939,0,0,0.001226994,0.002453988,0,0,0.012269939,0.026993865,0.002453988,0,0.018404908,0,0.004907975,0,0.002453988,0,0.002453988,0.007361963,0.006134969,0.029447853,0.009815951,0,0.002453988,0.008588957,0.030674847,0.003680982,0.001226994,0.001226994,0,0.002453988,0.013496933,0.001226994,0,0.090797546,0.002453988,0.011042945,0.02208589,0,0.004907975,0.007361963,0,0,0.002453988,0,0.001226994,0,0.001226994,0,0,0,0.003680982,0.003680982,0,0,0,0.011042945,0,0,0,0,0,0,0,0,0,0,0.003680982,0,0.004907975,0.003680982,0,0,0,0.001226994,0.001226994,0,0,0,0,0,0,0,0,0,0.035582822,0,0.067484663,0.001226994,0,0,0.001226994,0,0,0,0.004907975,0.019631902,0,0.002453988,0,0,0.001226994,0,0,0,0,0,0,0,0,0,0.088343558,0.014723926
Ilchulland,0.007604563,0.022813688,0.049429658,0.120405577,0.01774398,0.002534854,0.006337136,0,0.001267427,0,0,0,0,0.019011407,0.001267427,0,0,0,0,0,0.005069708,0.010139417,0,0,0.002534854,0,0.001267427,0,0.003802281,0,0.001267427,0,0,0.002534854,0,0,0,0.010139417,0,0.09252218,0.00887199,0.001267427,0.002534854,0.001267427,0.002534854,0.003802281,0.031685678,0.005069708,0,0,0.154626109,0.036755387,0.02661597,0.013941698,0.020278834,0.002534854,0,0.001267427,0.043092522,0,0.001267427,0,0.003802281,0.015209125,0,0.001267427,0.021546261,0.192648923,0,0.002534854,0.005069708,0.001267427,0.001267427,0,0,0,0,0,0,0,0.001267427,0,0,0.001267427,0.001267427,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006337136,0,0.001267427,0,0.001267427,0,0,0,0,0,0.001267427,0,0,0,0,0,0,0.001267427,0,0,0.003802281,0,0,0,0,0,0.001267427,0
Jeju Haenyeo Museum ,0.12248062,0.080620155,0.037209302,0.262015504,0.009302326,0,0.001550388,0.003100775,0,0.004651163,0.003100775,0,0.001550388,0.010852713,0,0,0,0,0,0,0,0.001550388,0,0,0,0,0.007751938,0,0.004651163,0.001550388,0,0,0,0.009302326,0,0,0,0.004651163,0.001550388,0.010852713,0.065116279,0.001550388,0,0.023255814,0.012403101,0.003100775,0,0.003100775,0,0,0.068217054,0.017054264,0.003100775,0.001550388,0,0.00620155,0.001550388,0.001550388,0.004651163,0,0.001550388,0,0.001550388,0.009302326,0.004651163,0,0.003100775,0.003100775,0.001550388,0.003100775,0.001550388,0,0,0,0,0,0,0,0,0,0.001550388,0,0,0.001550388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620155,0,0.003100775,0.001550388,0,0,0,0,0,0,0.003100775,0.001550388,0,0,0.00620155,0.003100775,0,0,0,0.00620155,0.001550388,0,0,0,0,0.142635659,0,0.001550388
Jeju Herb Dongsan,0.001751313,0.007005254,0.036777583,0.019264448,0.017513135,0.010507881,0.014010508,0.003502627,0,0,0,0,0,0.001751313,0,0.001751313,0,0,0,0,0.001751313,0.00525394,0,0,0.001751313,0,0,0,0.00525394,0,0,0,0,0.003502627,0,0,0,0.012259194,0.001751313,0.322241681,0.00525394,0,0.007005254,0,0.001751313,0.026269702,0.010507881,0.001751313,0,0,0.197898424,0.063047285,0.078809107,0.012259194,0.008756567,0,0.00525394,0,0.042031524,0,0,0,0,0,0.015761821,0,0,0,0.001751313,0,0,0,0.001751313,0,0,0,0,0,0.00525394,0,0,0.001751313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003502627,0,0,0,0.00525394,0,0,0,0,0,0,0,0,0,0,0,0,0.001751313,0,0.00525394,0.028021016,0,0,0,0,0,0,0.001751313
Blue Mountain Coffee theme park,0.002114165,0.014799154,0.069767442,0.035940803,0.00422833,0.002114165,0.00845666,0,0,0,0,0.002114165,0,0.006342495,0.002114165,0,0,0,0,0,0,0.002114165,0,0,0,0,0,0,0.00422833,0,0,0,0,0.002114165,0,0,0,0.006342495,0,0.207188161,0.002114165,0.00845666,0,0,0.002114165,0,0.029598309,0.010570825,0,0,0.164904863,0.012684989,0.016913319,0.010570825,0.00422833,0.00422833,0.002114165,0,0.114164905,0,0,0,0,0.014799154,0.169133192,0.006342495,0.00422833,0,0.002114165,0.00845666,0.006342495,0,0,0,0,0,0.002114165,0,0,0,0.00422833,0,0.002114165,0,0.002114165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002114165,0,0,0,0,0,0,0.002114165,0,0.00845666,0.00422833,0,0,0,0,0,0.006342495,0.002114165
Dongmun Rotary,0.005780347,0.000412882,0.003715937,0.061106524,0.136663914,0.005367465,0.052436003,0.002477291,0,0.000412882,0.000412882,0,0,0.000825764,0.000412882,0,0.001238646,0.001238646,0.000825764,0.001238646,0.014450867,0.018166804,0.000412882,0,0,0,0.056977704,0.000412882,0.035920727,0.003303055,0,0.000825764,0.000825764,0.002477291,0.003303055,0,0.000412882,0.159785301,0.00206441,0.056151941,0.001651528,0.001651528,0.006193229,0.000825764,0.001238646,0.069777044,0.002477291,0.000412882,0.002890173,0.000412882,0.034682081,0.00867052,0.006606111,0.000412882,0.009083402,0.000412882,0.094549959,0,0,0.001238646,0.001238646,0,0.007018993,0.004128819,0.001238646,0.00206441,0,0.000412882,0,0.000825764,0.003715937,0.024772915,0.000825764,0.004128819,0.000412882,0,0,0,0,0,0.008257638,0.007018993,0.002890173,0.001238646,0,0.000412882,0,0,0,0.018992568,0.000412882,0.000412882,0,0,0,0.000412882,0.000825764,0,0.005367465,0,0.000825764,0,0.000825764,0.000412882,0,0.003303055,0.001238646,0,0.000825764,0.001238646,0,0,0,0,0,0,0,0.000412882,0,0,0,0,0,0,0.002477291,0.018166804
Jeju 4.3 peace park,0.014527845,0.026634383,0.012106538,0.121065375,0.007263923,0,0.007263923,0.007263923,0,0.041162228,0.007263923,0.014527845,0.00968523,0.130750605,0,0,0.002421308,0,0,0.002421308,0.012106538,0.050847458,0.002421308,0,0.007263923,0,0.004842615,0,0.004842615,0,0,0.021791768,0.004842615,0,0.002421308,0,0.012106538,0.02905569,0.004842615,0.00968523,0.002421308,0,0,0.014527845,0.043583535,0,0.033898305,0.002421308,0,0,0.043583535,0.012106538,0.002421308,0.004842615,0.004842615,0,0,0,0.004842615,0,0.004842615,0,0.004842615,0.065375303,0.036319613,0.007263923,0.004842615,0,0,0,0.00968523,0,0,0,0,0,0,0.002421308,0.007263923,0,0,0.002421308,0.002421308,0.007263923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004842615,0,0.060532688,0,0,0,0.004842615,0.002421308,0,0,0.004842615,0.002421308,0,0,0,0.00968523,0,0,0,0,0.002421308,0,0,0,0,0,0.012106538,0
Namwon living gym,0,0,0,0,0.031609195,0,0.040229885,0,0,0,0,0.002873563,0,0,0,0,0,0.002873563,0,0.00862069,0.014367816,0.00862069,0,0,0,0,0.011494253,0,0.011494253,0,0,0,0,0.002873563,0,0,0,0.034482759,0,0.037356322,0,0,0.094827586,0,0,0.522988506,0,0,0.005747126,0,0.017241379,0.011494253,0.002873563,0,0.014367816,0,0.028735632,0,0,0.002873563,0,0,0.011494253,0,0,0,0,0,0.017241379,0,0,0.002873563,0.014367816,0,0,0,0,0,0,0,0.011494253,0.005747126,0,0,0.002873563,0,0.002873563,0.002873563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002873563,0,0,0,0,0,0.002873563,0,0,0,0.002873563,0,0.002873563,0,0,0,0.00862069,0,0,0,0,0,0,0
Jeju rehabilitation hospital,0.001392758,0.001392758,0.002785515,0.002785515,0.087743733,0,0.02367688,0.001392758,0,0,0,0,0,0,0,0.001392758,0.001392758,0.001392758,0.001392758,0.001392758,0.013927577,0.009749304,0,0,0.005571031,0,0.054317549,0.001392758,0.051532033,0.002785515,0.001392758,0,0,0,0.001392758,0,0,0.119777159,0,0.005571031,0,0,0.002785515,0,0,0.019498607,0,0,0.005571031,0,0.011142061,0.002785515,0.001392758,0,0.015320334,0,0.39275766,0,0.001392758,0.005571031,0.002785515,0,0.002785515,0,0,0.001392758,0,0,0.093314763,0.001392758,0.005571031,0,0,0.005571031,0,0,0,0,0,0,0.008356546,0.008356546,0.001392758,0,0.001392758,0,0,0,0,0.008356546,0,0,0,0,0,0,0.002785515,0,0,0,0,0,0,0,0,0.001392758,0,0,0,0,0,0,0,0,0,0,0,0,0.001392758,0,0,0,0,0,0,0
Keuneong,0.003484321,0.003484321,0.034843206,0.027874564,0.038327526,0.013937282,0.031358885,0.003484321,0,0,0.003484321,0,0,0.006968641,0,0,0.003484321,0.003484321,0,0.003484321,0.010452962,0.024390244,0.003484321,0,0.017421603,0,0.010452962,0,0.010452962,0,0,0,0,0.003484321,0,0,0,0.020905923,0,0.034843206,0.006968641,0,0.087108014,0,0,0.142857143,0,0.003484321,0.006968641,0,0.073170732,0.048780488,0.017421603,0.006968641,0.18466899,0,0.003484321,0,0.003484321,0,0,0,0.017421603,0,0,0.003484321,0.003484321,0.003484321,0,0,0.031358885,0.003484321,0,0,0,0,0,0,0.003484321,0,0.006968641,0,0.006968641,0,0.006968641,0,0,0.003484321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006968641,0,0,0,0,0,0,0.003484321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gangchanghak b Stadium,0,0,0.013513514,0.040540541,0,0.013513514,0.027027027,0.013513514,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0.040540541,0,0,0,0,0,0.081081081,0,0,0,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0.013513514,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0,0.013513514,0,0.040540541,0,0,0,0,0,0,0,0,0,0,0,0,0.040540541,0,0,0,0.081081081,0.121621622,0,0,0,0,0,0,0,0,0,0.013513514,0,0,0,0,0,0,0,0,0.351351351,0.013513514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International Peace Center Jeju,0,0,0,0.001265823,0.008860759,0.070886076,0.008860759,0.006329114,0,0,0,0,0,0.001265823,0,0,0.001265823,0.006329114,0,0,0.007594937,0.149367089,0,0.001265823,0.016455696,0,0.002531646,0.001265823,0.006329114,0,0,0,0,0.001265823,0,0,0.017721519,0.015189873,0,0,0,0,0,0.001265823,0.002531646,0.043037975,0.006329114,0.003797468,0,0,0,0,0,0,0,0,0.007594937,0,0,0,0.002531646,0,0.002531646,0.001265823,0,0,0,0,0.001265823,0.006329114,0,0.001265823,0,0,0,0.553164557,0,0,0,0,0.002531646,0.001265823,0.002531646,0,0.001265823,0,0,0.002531646,0.001265823,0,0,0.001265823,0,0,0,0.001265823,0.002531646,0,0.001265823,0,0.006329114,0,0.001265823,0.003797468,0,0.001265823,0,0,0.003797468,0,0,0,0,0,0.001265823,0,0.001265823,0,0,0,0.001265823,0,0,0,0.005063291,0
Jeju International Peace Center Jeju,0,0,0,0,0,0.008862629,0.001477105,0.001477105,0,0,0,0,0,0,0,0,0,0,0,0,0.001477105,0.007385524,0,0,0.00295421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001477105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001477105,0,0,0,0,0.971935007,0,0,0,0,0,0,0,0,0,0,0,0,0.001477105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maehwa Theme Park -1,0,0,0,0,0.00280112,0.00280112,0,0.00280112,0,0,0,0,0,0,0,0,0.00280112,0.008403361,0.00280112,0.014005602,0.050420168,0,0.00280112,0,0.014005602,0.00280112,0,0,0,0,0.00280112,0,0.00280112,0.00280112,0.00280112,0,0.00280112,0.00280112,0,0,0,0,0,0,0,0,0,0.00280112,0,0,0.00280112,0,0,0,0.00280112,0,0,0,0,0,0,0,0.00280112,0,0,0,0,0,0,0.00280112,0,0,0,0,0,0,0,0.848739496,0,0,0,0,0.005602241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280112,0,0,0,0,0,0.00280112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280112
Maehwa Theme Park -2,0,0.002169197,0.002169197,0.004338395,0.006507592,0.00867679,0.013015184,0.019522777,0,0.002169197,0,0,0.002169197,0,0.002169197,0,0.00867679,0.002169197,0.006507592,0.041214751,0.127982646,0.023861171,0.002169197,0.002169197,0.047722343,0.004338395,0.002169197,0.002169197,0.002169197,0,0.013015184,0.006507592,0.006507592,0.006507592,0.004338395,0.002169197,0.00867679,0.013015184,0.004338395,0,0.002169197,0,0,0,0,0,0,0.004338395,0,0,0,0,0,0,0,0.002169197,0.004338395,0,0,0,0.002169197,0.002169197,0.002169197,0.004338395,0,0,0,0,0,0,0,0.002169197,0,0,0,0,0.501084599,0,0.004338395,0,0,0,0.045553145,0,0,0,0,0.004338395,0,0,0.006507592,0,0,0,0,0.002169197,0,0,0,0,0,0,0.004338395,0,0,0,0,0,0,0.004338395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Da Vinci Museum,0,0.003448276,0,0.037931034,0.027586207,0.072413793,0.04137931,0.062068966,0.003448276,0,0,0.003448276,0.020689655,0.010344828,0.006896552,0,0.006896552,0,0,0.010344828,0.117241379,0.127586207,0.010344828,0.003448276,0.034482759,0,0,0,0.003448276,0,0.020689655,0.017241379,0.003448276,0,0,0,0.055172414,0.020689655,0,0,0.003448276,0,0,0,0.003448276,0,0.003448276,0,0.003448276,0,0.020689655,0.003448276,0.003448276,0,0.013793103,0,0,0,0,0,0.010344828,0.006896552,0.017241379,0.010344828,0.003448276,0,0.003448276,0,0,0.055172414,0,0,0,0,0,0,0,0,0,0.003448276,0.003448276,0,0.034482759,0,0.003448276,0,0,0.003448276,0.003448276,0,0,0.003448276,0,0,0,0.010344828,0.010344828,0,0.003448276,0.003448276,0.003448276,0,0,0.010344828,0,0,0,0,0,0.006896552,0.006896552,0,0,0,0,0,0.003448276,0,0,0,0,0,0,0,0.003448276,0
Daeyu industry,0,0,0,0.044642857,0.035714286,0.035714286,0.008928571,0.044642857,0,0,0,0,0,0,0,0,0.008928571,0.044642857,0,0,0.053571429,0.232142857,0.026785714,0,0.089285714,0,0.008928571,0,0,0,0.008928571,0.008928571,0.008928571,0,0,0,0.008928571,0.044642857,0,0,0,0,0,0,0,0.008928571,0,0,0.008928571,0,0,0.008928571,0.017857143,0,0,0,0,0,0,0,0.035714286,0,0.026785714,0,0,0.008928571,0.008928571,0,0,0,0,0,0,0,0,0,0,0,0.008928571,0,0,0.008928571,0.026785714,0,0,0,0,0,0,0,0.008928571,0,0.026785714,0,0.008928571,0,0.017857143,0.017857143,0.008928571,0.008928571,0,0,0.008928571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008928571,0,0,0
Hyodon-ri,0.006622517,0.009933775,0.004415011,0.008830022,0.075055188,0.004415011,0.161147903,0.001103753,0.001103753,0.001103753,0.001103753,0,0,0.002207506,0.003311258,0,0.001103753,0.003311258,0,0.002207506,0.016556291,0.016556291,0,0,0.006622517,0.001103753,0.05187638,0.001103753,0.030905077,0.001103753,0.001103753,0.002207506,0,0.002207506,0.001103753,0,0.003311258,0.079470199,0.001103753,0.01986755,0.005518764,0,0.002207506,0.001103753,0.003311258,0.015452539,0.006622517,0,0.030905077,0,0.025386313,0.006622517,0.002207506,0.003311258,0.037527594,0,0.056291391,0,0,0,0.001103753,0,0.178807947,0.004415011,0.001103753,0,0,0,0.027593819,0.001103753,0.006622517,0.005518764,0,0.001103753,0.002207506,0,0,0,0,0.001103753,0,0.007726269,0.001103753,0,0.007726269,0.002207506,0,0.002207506,0.001103753,0.001103753,0,0,0,0,0,0,0.001103753,0.001103753,0.003311258,0.001103753,0.001103753,0.001103753,0,0,0,0.008830022,0,0.001103753,0.001103753,0.003311258,0.001103753,0,0,0,0,0.001103753,0,0.001103753,0,0,0,0,0,0,0,0
Seogwipo all-weather a gate ball ground,0,0,0,0.004862237,0.079416532,0.021069692,0.079416532,0.001620746,0.001620746,0.001620746,0,0,0,0,0,0,0,0.009724473,0,0,0.024311183,0.030794165,0.006482982,0,0.011345219,0.001620746,0.040518639,0.003241491,0.218800648,0.021069692,0.001620746,0.003241491,0,0.001620746,0.003241491,0,0.001620746,0.142625608,0,0.004862237,0,0,0,0,0.001620746,0.016207455,0,0.001620746,0.004862237,0.001620746,0.006482982,0.001620746,0,0,0.001620746,0,0.063209076,0,0,0.009724473,0.003241491,0,0.035656402,0.001620746,0,0.003241491,0,0,0.027552674,0.001620746,0.001620746,0.019448947,0,0.011345219,0,0,0,0,0,0,0.008103728,0,0.001620746,0,0,0.006482982,0,0.006482982,0.001620746,0.009724473,0.001620746,0,0,0,0,0,0.006482982,0,0.001620746,0,0,0,0,0.001620746,0,0.012965964,0.008103728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001620746,0.001620746
